m,amendment_borda,amendment_plurality,successive_borda,successive_plurality
3,33.33333333333337,33.33333333333337,33.33333333333337,33.33333333333337
4,25.0,25.0,25.0,25.0
6,100.0,0.0,100.0,0.0
7,100.0,100.0,100.0,100.0
9,100.0,100.0,100.0,100.0
